,user_name,user_description,tweets,label,date
72132,blesson msc mphil phd tshcld abb,husband blessienelson associate professor bcmhouston ivf lab director texaschildrens researcher reproductive biology endocrinology metabolism,excited present finding possible use chatgpt art aabioanalysts symposium healthcare,neutral,2023-04-06 10:53:22+00:00
72173,rabeeh majidi phd,ceofounder orthokintrack exlead eng sensata exresearch fellow harvard uofr wpi alumnus orssociety social medium committee orssmc sheher,akiapour unbelievable nonprofessional chatgpt review paper future bias accuracy,positiv,2023-04-06 10:43:31+00:00
72423,waqar younas phd,academic writing enthusiast harnessing power empowering student researcher tip resource insight,conclusion chatgpt gamechanger academic writing brainstorming polishing final draft try boost productivity creativity happy writing scholar,positiv,2023-04-06 09:19:17+00:00
72424,waqar younas phd,academic writing enthusiast harnessing power empowering student researcher tip resource insight,excited share fantastic way use chatgpt academic writing powerful tool supercharge research brainstorming writing process let dive,positiv,2023-04-06 09:19:11+00:00
72438,phd chamber,phdcci established proactive dynamic multistate apex organisation working grassroot level strong national international linkage,phdcci organizing chatgpt masterclass discover future business growth innovation training cuttingedge technology april chatgpt chatbot technology phdcci chatgpts response useful,positiv,2023-04-06 09:14:12+00:00
73023,abbas hassan phd,incoming plastic surgery resident physician iusurgery postdocphd alumnus mdandersonnews,take surgical world storm latest annsurgoncol piece uncovers gamechanging role chatgpt openai surgical practice precision amp efficiency transforming patient care mustread wait challenge out,negativ,2023-04-06 05:15:07+00:00
73247,wesley fryer phd wfryermastodoncloud,love empowering creatively share voice medium cook too cookwithwes edtechsr wsshare create learn medialit storychasers,statement listed author stochastic parrot pause letter edtechsr chatgpt ethic medialit,positiv,2023-04-06 03:12:36+00:00
73303,kamran mirza phd,physician pathologist educator vicechair loyolapathology assistant dean dei loyolastritch assoc editor ashimagebank hemepath hehim,asked chatgpt write poem pathologist style drmayaangelou you welcome pathtwitter path path pathology medtwitter,positiv,2023-04-06 02:40:50+00:00
74280,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google openai share detail safety,positiv,2023-04-05 19:31:43+00:00
74487,ronald coyle phd,adjunct professor tridentuniv nielsen research analyst army veteran fantasy baseball data geek,go hollywood source wsj marketinginsights marketingtwitter marketing artificialintelligence chatgpt,negativ,2023-04-05 18:20:47+00:00
74709,lillian williams phd,lillian williams phd higher education social justice advocate researching familyhistorygenealogy linkedin bio rts arent endorsement,thread aipowered tool new one coming day can save time improve work output chatgpt,positiv,2023-04-05 17:17:28+00:00
74762,shay yao phd,tenuretrack assistant professor gsucommdept study woman maledominant field study technology promotes health phd commdeptmsu,making table favorable thing research simply timeconsuming chatgpt generate apa style table worked want technology life tiny bit easier,neutral,2023-04-05 17:05:15+00:00
74843,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google comprehensive list company working area artificial intelligence,neutral,2023-04-05 16:48:34+00:00
74854,prashant mullick phd,chessdad science geek phd building quantitative trading strategy living illini mipaltan qcalpha udct,fight email spam chatgpt,neutral,2023-04-05 16:46:08+00:00
74857,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google biggest artificial intelligence trend,positiv,2023-04-05 16:45:25+00:00
74869,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google innovative company artificial intelligence company apply array task,neutral,2023-04-05 16:43:23+00:00
75002,ibrahim chamseddine phd,research fellow radonc mghcancercenter harvardmed outcome prediction optimization mathonco mcgillu aublebanon,sudden chatgpt formal,negativ,2023-04-05 16:10:42+00:00
75007,michael casale phd,analytics behavioral science,stochastic parrot built data underpaid worker wrapped elaborate engineering provides semblance intelligence think reasonable chatgpt wired chatgpt,positiv,2023-04-05 16:07:44+00:00
75412,privacy royal phd,global privacy data protection cybersecurity attorney legal advice expertise meet practicality podcastprivacy,chatgpt surprising inexplicable regulated law focused impact regular people law requires explanation regulator society need company accountable gps privacypros alvarombedoya,positiv,2023-04-05 14:43:45+00:00
75501,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google introducing hilum generative aipowered researcher investor,neutral,2023-04-05 14:24:12+00:00
75515,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google chatgpt work,negativ,2023-04-05 14:21:02+00:00
75538,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google microsoft add chatbots team pentagon,negativ,2023-04-05 14:16:05+00:00
75581,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft googlepay openai ceo predicted end world know ton money end world grossly irresponsible quote openai ceo,neutral,2023-04-05 14:09:04+00:00
75606,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google gpt improve reflexion hugginggpt bard upgrade more,negativ,2023-04-05 14:02:13+00:00
75676,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google generative here tool like chatgpt change business excellent article,positiv,2023-04-05 13:48:25+00:00
75685,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google generative excellent general info article,neutral,2023-04-05 13:46:13+00:00
75710,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google gpt here doctor use generative now great article,negativ,2023-04-05 13:42:01+00:00
75717,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google chatgpt mean healthcare chatgpt assist clinical decision evidencebased information suggesting treatment option,negativ,2023-04-05 13:40:08+00:00
75823,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google google microsoft who winning war cent openai winning big time real challenge deepmind now,neutral,2023-04-05 13:18:50+00:00
75829,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google microsoft pulling ahead cloud war microsoft attacking google defending it totally different mind set race,positiv,2023-04-05 13:17:47+00:00
75832,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google google cut employee laptop service stapler multiyear saving show rattled are measure nickle dime,positiv,2023-04-05 13:16:36+00:00
75837,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft googlepay google bard supercharged inflated hype substance use gpt webchatgpt extension best,neutral,2023-04-05 13:15:32+00:00
75841,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai generativeai microsoft google openai playground tutorial playground gpt give free query set monthly limit month use gpt use webchatgpt extension search,negativ,2023-04-05 13:13:59+00:00
75853,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google gate say call pause wont solve challenge finally common sense biggest threat tesla bot eventually,neutral,2023-04-05 13:11:59+00:00
75859,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google biden discus risk opportunity meeting science tech advisor,neutral,2023-04-05 13:10:50+00:00
75865,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google speeding drug discovery diffusion generative model mit diffdock designed new drug faster reduce potential adverse effect,negativ,2023-04-05 13:09:50+00:00
75868,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google developer connecting multiple agent autonomous,negativ,2023-04-05 13:08:48+00:00
75873,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google taskdriven autonomous agent utilizing gpt pinecone langchain diverse application paper defining detail amazing scary,negativ,2023-04-05 13:07:53+00:00
75876,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google conversation chatgpt part question list event happen rise human life earth start super nova event,positiv,2023-04-05 13:06:49+00:00
75877,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google conversation chatgpt part question list event happen rise human life earth start super nova event,positiv,2023-04-05 13:05:30+00:00
75883,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google conversation chatgpt part question list event happen rise human life earth start super nova event,positiv,2023-04-05 13:04:31+00:00
76060,fernando machuca phd,phd science france goal enhance world reduce poverty,model chatgpt stable diffusion whisper dalle capable increasingly broad range task text manipulation analysis image generation unprecedentedly good speech recognition,neutral,2023-04-05 12:14:32+00:00
76147,wesley fryer phd wfryermastodoncloud,love empowering creatively share voice medium cook too cookwithwes edtechsr wsshare create learn medialit storychasers,thoughtprovoking amp valuable conversation google ceo sundar pachai hardfork podcast highly recommended edtechsr chatgpt bard techsavvyteach,positiv,2023-04-05 11:51:39+00:00
76684,martijn hoogeveen phd,entrepreneur investor professor research,government curb inflation help iceclog icecat bankingcrisis energyprices inflation chatgpt openai,neutral,2023-04-05 08:57:30+00:00
77059,kumar sarang phd,researcher lostintheatmosphere unravellingthehumanmessedupatmosphericchemistry viewsaremyown,trust efficacy future published article written help powered scite assistant chat gpt think beneficial viceversa chatgpt artificialintelligence sciteassistant research writingpublications,positiv,2023-04-05 06:42:22+00:00
77131,ben smith phd hehim,cancernsw career development fellow swsydunsw inghaminstitute focused fearofrecurrence survonc digitalhealth impsci healthequity opinion own,abbeydiazsays djmarsh elpaisinenglish ego seemingly match number paper pump they grudge prolific scientist lot people adore know worth related note curious hear thought chatgpt polish paper,positiv,2023-04-05 06:11:20+00:00
77450,lee ann jung phd,sheher founder lead inclusion clinical professor sdsu author consultant universal design inclusion assessment,instead trying figure chatgpt grade rubric teach student use chatgpt revise amp submit iteration amp reflection you way higher level thinking for you sblchat teacher edtechchat edchat,positiv,2023-04-05 03:33:14+00:00
77504,zubair iqbal phd,learning enthusiast eager share knowledge training capacity building,chatgpt powerful handyman chottaurdu struggling know use know feeling thats created list prompt comment handy send free curated list prompt must following chatgpt writingprompts free,neutral,2023-04-05 03:00:30+00:00
77600,aous abdo phd,astrophysicist nasadod scientist founder ceo driving innovation analytics data science datascience,opinion matter time search engine dead google pivot late openai chatgpt artificialintelligence,positiv,2023-04-05 02:17:06+00:00
77829,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google conversation chatgpt part question list event happen rise human life earth start super nova event,positiv,2023-04-05 00:31:29+00:00
77833,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google conversation chatgpt part question list event happen rise human life earth start super nova event,positiv,2023-04-05 00:30:28+00:00
77837,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google conversation chatgpt part question list event happen rise human life earth start super nova event,positiv,2023-04-05 00:29:35+00:00
77845,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google conversation chatgpt part question let know list event happen rise human life earth start super nova event,positiv,2023-04-05 00:26:54+00:00
77880,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google detecting preventing fixing hallucinated chatgpt result complex technical paper,negativ,2023-04-05 00:14:48+00:00
78082,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google taskdriven autonomous agent utilizing gpt pinecone langchain diverse application paper defining detail amazing scary,negativ,2023-04-04 23:31:07+00:00
78106,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google developer connecting multiple agent autonomous,negativ,2023-04-04 23:21:05+00:00
78566,siyuan cheng phd,cancer biologist bioinformatician postdoc fellow previous graduate studentlsu health shreveport working prostate cancer dog dad good husband,thanks chatgpt wrote bash script run pigz automatically detecting fastq file folder saving storage space sratoolkits fasterqdump doesnt support gzip life easier,negativ,2023-04-04 20:28:10+00:00
78844,jarryd willis phd,san diego professor social psychologist advisor ucsds mixed student union multiracial creator uta dreamer org catholic feminist intj,somagpt say chronosentias grammar incorporates special marker indicate degree intensity certainty personal significance inner experience emotion amp somatic sensation aiforgood chatgpt,neutral,2023-04-04 18:58:16+00:00
78996,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google speeding drug discovery diffusion generative model mit diffdock designed new drug faster reduce potential adverse effect,negativ,2023-04-04 18:15:22+00:00
79005,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft googlepay walmart confirms retailer building gpt say generative big shift mobile,negativ,2023-04-04 18:12:00+00:00
79021,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google biden discus risk opportunity meeting science tech advisor,neutral,2023-04-04 18:07:09+00:00
79084,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google amazon want boost generative startup globe,negativ,2023-04-04 17:50:16+00:00
79140,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google gate say call pause wont solve challenge finally common sense biggest threat tesla bot eventually,neutral,2023-04-04 17:32:14+00:00
79144,grasshopper heshan illangkoon phd,excited longevity regeneration stem cell exosomes astrosyntheticbiologist hustle,great thread recent accomplishment demonstrating power chatgpt,negativ,2023-04-04 17:31:53+00:00
79192,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google instant video represent leap technology new york startup company working producing short video word typed computer,positiv,2023-04-04 17:18:18+00:00
79301,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google openai playground tutorial playground gpt give free query set monthly limit month use gpt use webchatgpt extension search,negativ,2023-04-04 16:48:30+00:00
79940,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google use openai playground tutorial chatgpt alternative look super cool voice command too check,negativ,2023-04-04 14:14:54+00:00
80487,chinu phd,material chemist exploring fascinating world supramolecular polymer passionate designing novel material unique property application,martintauchman microbiomdigest manuelansede chatgpt cant answer vegetative electron microscopy,neutral,2023-04-04 12:13:32+00:00
80661,sergio kaiser phd facc fesc,cardiologist professor internal medicine rio janeiro state university passion preventive cardiology heart failure art classical music,chatgpt promising tool need lot improvement look hallucination provided version question prominent trial recent publication nejm author infer chatgpt better treated wneuroleptics,positiv,2023-04-04 11:19:25+00:00
81000,raszewski phd,tweet political economy oilgas londonbased academic researcher viewsopinions own rtinteresting,chatgpt banned italy privacy concern digitaltransformation,positiv,2023-04-04 09:36:57+00:00
81805,chinu phd,material chemist exploring fascinating world supramolecular polymer passionate designing novel material unique property application,payaljs use chatgpt blog content writing academic writing critique adviser suck countless hour polishing revising manuscript student situation article let reviewer decide,positiv,2023-04-04 04:00:18+00:00
81817,chinu phd,material chemist exploring fascinating world supramolecular polymer passionate designing novel material unique property application,payaljs influencers here can hurt saying chatgpt writing suck work few teach train chatgpt read train brain write better,positiv,2023-04-04 03:54:33+00:00
81895,sapna kudchadkar phd,vice chair pedsicu pedsanes hopkinsmedicine anesthesiologistinchief hopkinskids director picuup study sleep delirium icurehab mom,took page kmirza asked chatgpt convince pedsicu best profession world voice yoda pedsicu friend bad all,positiv,2023-04-04 03:16:31+00:00
81987,angelica parente phd,tweet own,chatgpt feature request use arrow key prompt history openai,negativ,2023-04-04 02:20:43+00:00
82063,wesley fryer phd wfryermastodoncloud,love empowering creatively share voice medium cook too cookwithwes edtechsr wsshare create learn medialit storychasers,recent seattletimes oped chatbot era better worse off jevinwest tipteachers medialit medialiteracy chatgpt edtechsr,neutral,2023-04-04 01:36:11+00:00
82080,kamran mirza phd,physician pathologist educator vicechair loyolapathology assistant dean dei loyolastritch assoc editor ashimagebank hemepath hehim,asked chatgpt convince medicalstudents consider pathology yoda style you welcome medstudenttwitter path path,positiv,2023-04-04 01:26:58+00:00
82116,aous abdo phd,astrophysicist nasadod scientist founder ceo driving innovation analytics data science datascience,casualty resulting wide spread use likely innovation education agree paranoid openai chatgpt gpt autogpt,negativ,2023-04-04 01:02:19+00:00
82119,aous abdo phd,astrophysicist nasadod scientist founder ceo driving innovation analytics data science datascience,casualty wide spread use likely innovation education agree paranoid openai chatgpt gpt autogpt,negativ,2023-04-04 01:01:30+00:00
82208,carlos campos phd,interventional cardiologist associate professor heart institute paulo university tweet don reflect opinion institution,discovered webchatgpt chrome extension give web access chatgpt realtime information customizable search option want search pubmed source problem check out thread learn more chromeextensions,neutral,2023-04-04 00:12:45+00:00
82303,sergio kaiser phd facc fesc,cardiologist professor internal medicine rio janeiro state university passion preventive cardiology heart failure art classical music,beware chatgpt hallucination fortunately provided youre wary answer question check validate answer lot laugh read box engl med doi nejmsr,negativ,2023-04-03 23:47:56+00:00
82672,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google altman musk openai tread tesla robot turf investment norway,neutral,2023-04-03 20:56:46+00:00
82885,bita sarah haynes phd,ceo xfounder xbodvc executive coachdeicrosscultural clinical psychologistphfunicef bodtenured profprev georgetown nih,great panel discussion important role chatgpt shervin fiiksa amp implication amp letter sent elonmusk stevewoz amp individual asking moratorium pause building powerful tool profound risk society amp humanity,positiv,2023-04-03 19:46:51+00:00
83297,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google new better microsoft team,negativ,2023-04-03 17:55:16+00:00
83317,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google chatgpt pay news consumes news corp australia ceo,negativ,2023-04-03 17:50:51+00:00
83380,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft googlepay google bard supercharged inflated hype substance use gpt webchatgpt extension best,neutral,2023-04-03 17:34:22+00:00
83408,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google google cut employee laptop service stapler multiyear saving show rattled are measure nickle dime,positiv,2023-04-03 17:27:55+00:00
83464,mauricio corona phd,stem robotics artificial intelligence itil architect author international speaker professor researcher bitcoin,italian trying access chatgpt,neutral,2023-04-03 17:05:27+00:00
83786,prashant mullick phd,chessdad science geek phd building quantitative trading strategy living illini mipaltan qcalpha udct,money chatgpt,negativ,2023-04-03 15:35:08+00:00
83866,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google chatgpt gpt explained,negativ,2023-04-03 15:16:44+00:00
83889,angeline chatelan phd,assistant professor tenure track hessogeneva expertise nutritional epidemiology public health nutrition,heard chatgpt chatbots dietitian nutritionist healthcare provider happy share latest preprint chatgpt potential impact practice summary table chatgpt healthcare,neutral,2023-04-03 15:10:32+00:00
83941,latasha holt phd,assessment coordinator assistant professor lifelong learner mom author adrenal insufficiency advocate kid like,it chat gpt time excited selected participate university louisiana lafayette higher education cross disciplinary panel chatgpt highereducation,neutral,2023-04-03 15:00:09+00:00
84234,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google opinion dont gpt replace job current employee productive efficient company encourage use gpt threaten job,positiv,2023-04-03 13:53:31+00:00
84277,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google microsoft pulling ahead cloud war microsoft attacking google defending it totally different mind set race,positiv,2023-04-03 13:39:39+00:00
84314,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google google microsoft who winning war cent openai winning big time real challenge deepmind now,neutral,2023-04-03 13:33:25+00:00
84388,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google disaster here don care crack pot crowd reflects ignorance naivety,negativ,2023-04-03 13:14:52+00:00
84405,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google list job most exposed generative,positiv,2023-04-03 13:08:21+00:00
84415,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft googlepay college professor adopting chatgpt quickly student,positiv,2023-04-03 13:06:02+00:00
84446,ariella brown phd content marketing expert,spin data engaging story wordclass content convert check not typo contentmarketing tech jlm,inevitable generative undermine company fake review chatgpt reviewfraud,negativ,2023-04-03 12:59:47+00:00
84576,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google gpt improve reflexion hugginggpt exceptional vid effort author watch actually learn something,positiv,2023-04-03 12:28:26+00:00
84792,waqar younas phd,academic writing enthusiast harnessing power empowering student researcher tip resource insight,hey scholar youre struggling started academic writing look further let chatgpt know research topic use prompt thatll help brainstorm structure enhance work let dive academicwriting writingtips,positiv,2023-04-03 11:34:30+00:00
85707,benjamin delsol phd,french patent attorney phd quantum nanoelectronics material science coach mentor speaker author,ipmonday tip software patent inventor revolutionary software idea ready world storm like chatgpt dont know protect heard software cant patented protect invention,negativ,2023-04-03 06:30:20+00:00
85744,sarah thomas phd,educator regional tech coordinator edumatch founderceo story whats yours please tag dm promo,game turned fitness journey donkey konginspired adventure chatgpt check meal plan workout battle sugar goblinfitnessjourney gamification chatgpt,negativ,2023-04-03 06:19:01+00:00
86172,lucy wanjiku gichaga phd,capturecelebratecurate idea believer digitalstrategy datadecisioning sdgs diversity studentsuccess,making course resistant chatgpt plagiarism,neutral,2023-04-03 03:00:09+00:00
86183,igor korolev phd,physicianneuroscientist healthwellness mental health digital health biotech innovation sciencetechbased art scipixnft space host web mhc,catgpt world freaking talking million cat pet worldwide catgpt advanced chatgpt cat genetic similarity human cat brain million neuron amp structure similar human brain,positiv,2023-04-03 02:53:43+00:00
86423,krishna ravi srinivas phd,risnewdelhi inter aliaiprstists sti sdgrriscidipgendersti stipolicy edits abdrris real junzi,irony chatbot eliza weizenbaum anticipated chatgpt aiethics,negativ,2023-04-03 00:38:04+00:00
86525,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google winning microsoft versus google war openai pay use gpt super chatbot google deepmind sparrow launched,positiv,2023-04-02 13:38:05+00:00
86530,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google war google set sight challenging chatgpt microsoft microsoft got google ball fun ride,neutral,2023-04-02 13:34:15+00:00
86535,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google inside deep mind demis hassabis overview life accomplishment,neutral,2023-04-02 13:31:39+00:00
86550,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google offer humanity wreak terrible harm controlled reaction non expert openai making optimally safe,negativ,2023-04-02 13:27:58+00:00
86573,bilal mirza phd,entrepreneurship academician unumerit fellow epfl graduate tech communicatoroccasional sarcastic political commentary travel addict let connect,asked chatgpt represent pakistan emojis pakistan flag emoji mosque emoji representing significant role islam pakistan culture green heart emoji symbolizing color pakistan flag patriotism cricket bat and,neutral,2023-04-02 13:21:33+00:00
86754,hutan almeida translator phd,solving complex communication problem tradutortranslatortraducteur english fran ai portugu portugais portuguese,chatgpt translator perspective translation translator tradu chatgpt tradutor,negativ,2023-04-02 12:16:27+00:00
86765,hutan almeida translator phd,solving complex communication problem tradutortranslatortraducteur english fran ai portugu portugais portuguese,chatgpt unfit translation translation translator tradu chatgpt tradutor,negativ,2023-04-02 12:14:05+00:00
86767,jeanlouis amat phd,economic development industry markterr talk innovation tech physic digital startup started personal account fren,hype chatgpt make think about llm hype,positiv,2023-04-02 12:13:58+00:00
86991,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google feel strange ask chatgpt going emergency room chat elevated heart rate wrong,neutral,2023-04-02 10:34:07+00:00
86996,bilal mirza phd,entrepreneurship academician unumerit fellow epfl graduate tech communicatoroccasional sarcastic political commentary travel addict let connect,unleashing chatgpt money online latest language chatgpt openai languageprocessing makingmoneyonline freelancing artificialintelligence chatbots contentcreation creativewriting translation languagelearning,negativ,2023-04-02 10:32:11+00:00
87006,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla optimus bot deepmind openai generative gpt,gpt chatgpt openai artificialintelligence generativeai microsoft google diagnose medical condition home people asking ai medical advice tool stack against complement human doctor,neutral,2023-04-02 10:26:47+00:00
